date,total
2020-03-14,81
2020-03-15,27
2020-03-16,15
2020-03-17,11
2020-03-18,37
2020-03-19,27
2020-03-20,58
2020-03-21,78
2020-03-22,67
2020-03-23,102
2020-03-24,64
2020-03-25,90
2020-03-26,65
2020-03-27,164
2020-03-28,143
2020-03-29,110
2020-03-30,187
2020-03-31,309
2020-04-01,424
2020-04-02,486
2020-04-03,560
2020-04-04,579
2020-04-05,609
2020-04-06,484
2020-04-07,572
2020-04-08,565
2020-04-09,813
2020-04-10,871
2020-04-11,854
2020-04-12,758
2020-04-13,1243
2020-04-14,1031
2020-04-15,886
2020-04-16,1061
2020-04-17,922
2020-04-18,1371
2020-04-19,1580
2020-04-20,1239
2020-04-21,1537
2020-04-22,1292
2020-04-23,1667
2020-04-24,1408
2020-04-25,1835
2020-04-26,1607
2020-04-27,1568
2020-04-28,1902
2020-04-29,1705
2020-04-30,1802
2020-05-01,2396
2020-05-02,2564
2020-05-03,2952
2020-05-04,3656
2020-05-05,2971
2020-05-06,3602
2020-05-07,3344
2020-05-08,3339
2020-05-09,3175
2020-05-10,4311
2020-05-11,3592
2020-05-12,3562
2020-05-13,3726
2020-05-14,3991
2020-05-15,3808
2020-05-16,4794
2020-05-17,5049
2020-05-18,4628
2020-05-19,6154
2020-05-20,5720
2020-05-21,6023
2020-05-22,6536
2020-05-23,6663
2020-05-24,7111
2020-05-25,6414
2020-05-26,5907
2020-05-27,7246
2020-05-28,7254
2020-05-29,8138
2020-05-30,8364
2020-05-31,8789
2020-06-01,7723
2020-06-02,8812
2020-06-03,9689
2020-06-04,9847
2020-06-05,9472
2020-06-06,10408
2020-06-07,10882
2020-06-08,8536
2020-06-09,9981
2020-06-10,11156
2020-06-11,11135
2020-06-12,11306
2020-06-13,12039
2020-06-14,11405
2020-06-15,10032
2020-06-16,11086
2020-06-17,13108
2020-06-18,13829
2020-06-19,14638
2020-06-20,15918
2020-06-21,15151
2020-06-22,13560
2020-06-23,15656
2020-06-24,16868
2020-06-25,18205
2020-06-26,18256
